ticker,name,exchange,sector,industry,country,currency,source
A1CAP.IS,A1 CAPITAL YATIRIM,BIST,,,TR,TRY,borsa_istanbul
A1YEN.IS,A1 YENILENEBILIR ENERJI,BIST,,,TR,TRY,borsa_istanbul
ACSEL.IS,ACIPAYAM SELULOZ,BIST,,,TR,TRY,borsa_istanbul
ADEL.IS,ADEL KALEMCILIK,BIST,,,TR,TRY,borsa_istanbul
ADESE.IS,ADESE GAYRIMENKUL,BIST,,,TR,TRY,borsa_istanbul
ADGYO.IS,ADRA GMYO,BIST,,,TR,TRY,borsa_istanbul
AEFES.IS,ANADOLU EFES,BIST,,,TR,TRY,borsa_istanbul
AFYON.IS,AFYON CIMENTO,BIST,,,TR,TRY,borsa_istanbul
AGESA.IS,AGESA HAYAT EMEKLILIK,BIST,,,TR,TRY,borsa_istanbul
AGHOL.IS,ANADOLU GRUBU HOLDING,BIST,,,TR,TRY,borsa_istanbul
AGROT.IS,AGROTECH TEKNOLOJI,BIST,,,TR,TRY,borsa_istanbul
AHGAZ.IS,AHLATCI DOGALGAZ,BIST,,,TR,TRY,borsa_istanbul
AHSGY.IS,AHES GMYO,BIST,,,TR,TRY,borsa_istanbul
AKBNK.IS,AKBANK,BIST,,,TR,TRY,borsa_istanbul
AKCNS.IS,AKCANSA,BIST,,,TR,TRY,borsa_istanbul
AKENR.IS,AKENERJI,BIST,,,TR,TRY,borsa_istanbul
AKFGY.IS,AKFEN GMYO,BIST,,,TR,TRY,borsa_istanbul
AKFIS.IS,AKFEN INSAAT,BIST,,,TR,TRY,borsa_istanbul
AKFYE.IS,AKFEN YEN. ENERJI,BIST,,,TR,TRY,borsa_istanbul
AKGRT.IS,AKSIGORTA,BIST,,,TR,TRY,borsa_istanbul
AKSA.IS,AKSA,BIST,,,TR,TRY,borsa_istanbul
AKSEN.IS,AKSA ENERJI,BIST,,,TR,TRY,borsa_istanbul
AKSGY.IS,AKIS GMYO,BIST,,,TR,TRY,borsa_istanbul
ALARK.IS,ALARKO HOLDING,BIST,,,TR,TRY,borsa_istanbul
ALBRK.IS,ALBARAKA TURK,BIST,,,TR,TRY,borsa_istanbul
ALCAR.IS,ALARKO CARRIER,BIST,,,TR,TRY,borsa_istanbul
ALCTL.IS,ALCATEL LUCENT TELETAS,BIST,,,TR,TRY,borsa_istanbul
ALFAS.IS,ALFA SOLAR ENERJI,BIST,,,TR,TRY,borsa_istanbul
ALGYO.IS,ALARKO GMYO,BIST,,,TR,TRY,borsa_istanbul
ALKA.IS,ALKIM KAGIT,BIST,,,TR,TRY,borsa_istanbul
ALKIM.IS,ALKIM KIMYA,BIST,,,TR,TRY,borsa_istanbul
ALKLC.IS,ALTINKILIC GIDA VE SUT,BIST,,,TR,TRY,borsa_istanbul
ALTNY.IS,ALTINAY SAVUNMA,BIST,,,TR,TRY,borsa_istanbul
ALVES.IS,ALVES KABLO,BIST,,,TR,TRY,borsa_istanbul
ANELE.IS,ANEL ELEKTRIK,BIST,,,TR,TRY,borsa_istanbul
ANGEN.IS,ANATOLIA TANI VE BIYOTEKNOLOJI,BIST,,,TR,TRY,borsa_istanbul
ANHYT.IS,ANADOLU HAYAT EMEK.,BIST,,,TR,TRY,borsa_istanbul
ANSGR.IS,ANADOLU SIGORTA,BIST,,,TR,TRY,borsa_istanbul
ARASE.IS,DOGU ARAS ENERJI,BIST,,,TR,TRY,borsa_istanbul
ARCLK.IS,ARCELIK,BIST,,,TR,TRY,borsa_istanbul
ARDYZ.IS,ARD BILISIM TEKNOLOJILERI,BIST,,,TR,TRY,borsa_istanbul
