ticker,name,exchange,sector,industry,country,currency,source
AAPL,Apple Inc.,USA,,Technology,USA,USD,wikipedia_nasdaq100
ABNB,Airbnb,USA,,Consumer Discretionary,USA,USD,wikipedia_nasdaq100
ADBE,Adobe Inc.,USA,,Technology,USA,USD,wikipedia_nasdaq100
ADI,Analog Devices,USA,,Technology,USA,USD,wikipedia_nasdaq100
ADP,Automatic Data Processing,USA,,Industrials,USA,USD,wikipedia_nasdaq100
ADSK,Autodesk,USA,,Technology,USA,USD,wikipedia_nasdaq100
AEP,American Electric Power,USA,,Utilities,USA,USD,wikipedia_nasdaq100
ALNY,Alnylam Pharmaceuticals,USA,,Health Care,USA,USD,wikipedia_nasdaq100
AMAT,Applied Materials,USA,,Technology,USA,USD,wikipedia_nasdaq100
AMD,Advanced Micro Devices,USA,,Technology,USA,USD,wikipedia_nasdaq100
AMGN,Amgen,USA,,Health Care,USA,USD,wikipedia_nasdaq100
AMZN,Amazon,USA,,Consumer Discretionary,USA,USD,wikipedia_nasdaq100
APP,AppLovin,USA,,Technology,USA,USD,wikipedia_nasdaq100
ARM,Arm Holdings,USA,,Technology,USA,USD,wikipedia_nasdaq100
ASML,ASML Holding,USA,,Technology,USA,USD,wikipedia_nasdaq100
AVGO,Broadcom,USA,,Technology,USA,USD,wikipedia_nasdaq100
AXON,Axon Enterprise,USA,,Industrials,USA,USD,wikipedia_nasdaq100
BKNG,Booking Holdings,USA,,Consumer Discretionary,USA,USD,wikipedia_nasdaq100
BKR,Baker Hughes,USA,,Energy,USA,USD,wikipedia_nasdaq100
CCEP,Coca-Cola Europacific Partners,USA,,Consumer Staples,USA,USD,wikipedia_nasdaq100
CDNS,Cadence Design Systems,USA,,Technology,USA,USD,wikipedia_nasdaq100
CEG,Constellation Energy,USA,,Utilities,USA,USD,wikipedia_nasdaq100
CHTR,Charter Communications,USA,,Telecommunications,USA,USD,wikipedia_nasdaq100
