ticker,name,exchange,sector,industry,country,currency,source
A,Agilent Technologies,USA,Health Care,Life Sciences Tools & Services,USA,USD,wikipedia_sp500
AAPL,Apple Inc.,USA,Information Technology,"Technology Hardware, Storage & Peripherals",USA,USD,wikipedia_sp500
ABBV,AbbVie,USA,Health Care,Biotechnology,USA,USD,wikipedia_sp500
ABNB,Airbnb,USA,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",USA,USD,wikipedia_sp500
ABT,Abbott Laboratories,USA,Health Care,Health Care Equipment,USA,USD,wikipedia_sp500
ACGL,Arch Capital Group,USA,Financials,Property & Casualty Insurance,USA,USD,wikipedia_sp500
ACN,Accenture,USA,Information Technology,IT Consulting & Other Services,USA,USD,wikipedia_sp500
ADBE,Adobe Inc.,USA,Information Technology,Application Software,USA,USD,wikipedia_sp500
ADI,Analog Devices,USA,Information Technology,Semiconductors,USA,USD,wikipedia_sp500
ADM,Archer Daniels Midland,USA,Consumer Staples,Agricultural Products & Services,USA,USD,wikipedia_sp500
ADP,Automatic Data Processing,USA,Industrials,Human Resource & Employment Services,USA,USD,wikipedia_sp500
ADSK,Autodesk,USA,Information Technology,Application Software,USA,USD,wikipedia_sp500
AEE,Ameren,USA,Utilities,Multi-Utilities,USA,USD,wikipedia_sp500
AEP,American Electric Power,USA,Utilities,Electric Utilities,USA,USD,wikipedia_sp500
AES,AES Corporation,USA,Utilities,Independent Power Producers & Energy Traders,USA,USD,wikipedia_sp500
AFL,Aflac,USA,Financials,Life & Health Insurance,USA,USD,wikipedia_sp500
AIG,American International Group,USA,Financials,Multi-line Insurance,USA,USD,wikipedia_sp500
AIZ,Assurant,USA,Financials,Multi-line Insurance,USA,USD,wikipedia_sp500
AJG,Arthur J. Gallagher & Co.,USA,Financials,Insurance Brokers,USA,USD,wikipedia_sp500
AKAM,Akamai Technologies,USA,Information Technology,Internet Services & Infrastructure,USA,USD,wikipedia_sp500
ALB,Albemarle Corporation,USA,Materials,Specialty Chemicals,USA,USD,wikipedia_sp500
ALGN,Align Technology,USA,Health Care,Health Care Supplies,USA,USD,wikipedia_sp500
ALL,Allstate,USA,Financials,Property & Casualty Insurance,USA,USD,wikipedia_sp500
ALLE,Allegion,USA,Industrials,Building Products,USA,USD,wikipedia_sp500
AMAT,Applied Materials,USA,Information Technology,Semiconductor Materials & Equipment,USA,USD,wikipedia_sp500
AMCR,Amcor,USA,Materials,Paper & Plastic Packaging Products & Materials,USA,USD,wikipedia_sp500
AMD,Advanced Micro Devices,USA,Information Technology,Semiconductors,USA,USD,wikipedia_sp500
AME,Ametek,USA,Industrials,Electrical Components & Equipment,USA,USD,wikipedia_sp500
AMGN,Amgen,USA,Health Care,Biotechnology,USA,USD,wikipedia_sp500
AMP,Ameriprise Financial,USA,Financials,Asset Management & Custody Banks,USA,USD,wikipedia_sp500
AMT,American Tower,USA,Real Estate,Telecom Tower REITs,USA,USD,wikipedia_sp500
AMZN,Amazon,USA,Consumer Discretionary,Broadline Retail,USA,USD,wikipedia_sp500
ANET,Arista Networks,USA,Information Technology,Communications Equipment,USA,USD,wikipedia_sp500
AON,Aon plc,USA,Financials,Insurance Brokers,USA,USD,wikipedia_sp500
AOS,A. O. Smith,USA,Industrials,Building Products,USA,USD,wikipedia_sp500
APA,APA Corporation,USA,Energy,Oil & Gas Exploration & Production,USA,USD,wikipedia_sp500
APD,Air Products,USA,Materials,Industrial Gases,USA,USD,wikipedia_sp500
APH,Amphenol,USA,Information Technology,Electronic Components,USA,USD,wikipedia_sp500
APO,Apollo Global Management,USA,Financials,Asset Management & Custody Banks,USA,USD,wikipedia_sp500
APP,AppLovin,USA,Information Technology,Application Software,USA,USD,wikipedia_sp500
APTV,Aptiv,USA,Consumer Discretionary,Automotive Parts & Equipment,USA,USD,wikipedia_sp500
ARE,Alexandria Real Estate Equities,USA,Real Estate,Office REITs,USA,USD,wikipedia_sp500
ARES,Ares Management,USA,Financials,Asset Management & Custody Banks,USA,USD,wikipedia_sp500
ATO,Atmos Energy,USA,Utilities,Gas Utilities,USA,USD,wikipedia_sp500
AVB,AvalonBay Communities,USA,Real Estate,Multi-Family Residential REITs,USA,USD,wikipedia_sp500
AVGO,Broadcom,USA,Information Technology,Semiconductors,USA,USD,wikipedia_sp500
AVY,Avery Dennison,USA,Materials,Paper & Plastic Packaging Products & Materials,USA,USD,wikipedia_sp500
AWK,American Water Works,USA,Utilities,Water Utilities,USA,USD,wikipedia_sp500
AXON,Axon Enterprise,USA,Industrials,Aerospace & Defense,USA,USD,wikipedia_sp500
AXP,American Express,USA,Financials,Consumer Finance,USA,USD,wikipedia_sp500
AZO,AutoZone,USA,Consumer Discretionary,Automotive Retail,USA,USD,wikipedia_sp500
BA,Boeing,USA,Industrials,Aerospace & Defense,USA,USD,wikipedia_sp500
BAC,Bank of America,USA,Financials,Diversified Banks,USA,USD,wikipedia_sp500
BALL,Ball Corporation,USA,Materials,"Metal, Glass & Plastic Containers",USA,USD,wikipedia_sp500
BAX,Baxter International,USA,Health Care,Health Care Equipment,USA,USD,wikipedia_sp500
BBY,Best Buy,USA,Consumer Discretionary,Computer & Electronics Retail,USA,USD,wikipedia_sp500
BDX,Becton Dickinson,USA,Health Care,Health Care Equipment,USA,USD,wikipedia_sp500
BEN,Franklin Resources,USA,Financials,Asset Management & Custody Banks,USA,USD,wikipedia_sp500
BF.B,Brown–Forman,USA,Consumer Staples,Distillers & Vintners,USA,USD,wikipedia_sp500
BG,Bunge Global,USA,Consumer Staples,Agricultural Products & Services,USA,USD,wikipedia_sp500
BIIB,Biogen,USA,Health Care,Biotechnology,USA,USD,wikipedia_sp500
BK,BNY Mellon,USA,Financials,Asset Management & Custody Banks,USA,USD,wikipedia_sp500
BKNG,Booking Holdings,USA,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",USA,USD,wikipedia_sp500
BKR,Baker Hughes,USA,Energy,Oil & Gas Equipment & Services,USA,USD,wikipedia_sp500
BLDR,Builders FirstSource,USA,Industrials,Building Products,USA,USD,wikipedia_sp500
BLK,BlackRock,USA,Financials,Asset Management & Custody Banks,USA,USD,wikipedia_sp500
BMY,Bristol Myers Squibb,USA,Health Care,Pharmaceuticals,USA,USD,wikipedia_sp500
BR,Broadridge Financial Solutions,USA,Industrials,Data Processing & Outsourced Services,USA,USD,wikipedia_sp500
BRK.B,Berkshire Hathaway,USA,Financials,Multi-Sector Holdings,USA,USD,wikipedia_sp500
BRO,Brown & Brown,USA,Financials,Insurance Brokers,USA,USD,wikipedia_sp500
BSX,Boston Scientific,USA,Health Care,Health Care Equipment,USA,USD,wikipedia_sp500
BX,Blackstone Inc.,USA,Financials,Asset Management & Custody Banks,USA,USD,wikipedia_sp500
BXP,"BXP, Inc.",USA,Real Estate,Office REITs,USA,USD,wikipedia_sp500
C,Citigroup,USA,Financials,Diversified Banks,USA,USD,wikipedia_sp500
CAG,Conagra Brands,USA,Consumer Staples,Packaged Foods & Meats,USA,USD,wikipedia_sp500
CAH,Cardinal Health,USA,Health Care,Health Care Distributors,USA,USD,wikipedia_sp500
CARR,Carrier Global,USA,Industrials,Building Products,USA,USD,wikipedia_sp500
CAT,Caterpillar Inc.,USA,Industrials,Construction Machinery & Heavy Transportation Equipment,USA,USD,wikipedia_sp500
CB,Chubb Limited,USA,Financials,Property & Casualty Insurance,USA,USD,wikipedia_sp500
CBOE,Cboe Global Markets,USA,Financials,Financial Exchanges & Data,USA,USD,wikipedia_sp500
CBRE,CBRE Group,USA,Real Estate,Real Estate Services,USA,USD,wikipedia_sp500
CCI,Crown Castle,USA,Real Estate,Telecom Tower REITs,USA,USD,wikipedia_sp500
CCL,Carnival,USA,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",USA,USD,wikipedia_sp500
CDNS,Cadence Design Systems,USA,Information Technology,Application Software,USA,USD,wikipedia_sp500
CDW,CDW Corporation,USA,Information Technology,Technology Distributors,USA,USD,wikipedia_sp500
CEG,Constellation Energy,USA,Utilities,Electric Utilities,USA,USD,wikipedia_sp500
CF,CF Industries,USA,Materials,Fertilizers & Agricultural Chemicals,USA,USD,wikipedia_sp500
CFG,Citizens Financial Group,USA,Financials,Regional Banks,USA,USD,wikipedia_sp500
CHD,Church & Dwight,USA,Consumer Staples,Household Products,USA,USD,wikipedia_sp500
CHRW,C.H. Robinson,USA,Industrials,Air Freight & Logistics,USA,USD,wikipedia_sp500
CHTR,Charter Communications,USA,Communication Services,Cable & Satellite,USA,USD,wikipedia_sp500
CI,Cigna,USA,Health Care,Health Care Services,USA,USD,wikipedia_sp500
CIEN,Ciena,USA,Information Technology,Communications Equipment,USA,USD,wikipedia_sp500
CINF,Cincinnati Financial,USA,Financials,Property & Casualty Insurance,USA,USD,wikipedia_sp500
CL,Colgate-Palmolive,USA,Consumer Staples,Household Products,USA,USD,wikipedia_sp500
CLX,Clorox,USA,Consumer Staples,Household Products,USA,USD,wikipedia_sp500
CMCSA,Comcast,USA,Communication Services,Cable & Satellite,USA,USD,wikipedia_sp500
CME,CME Group,USA,Financials,Financial Exchanges & Data,USA,USD,wikipedia_sp500
CMG,Chipotle Mexican Grill,USA,Consumer Discretionary,Restaurants,USA,USD,wikipedia_sp500
CMI,Cummins,USA,Industrials,Construction Machinery & Heavy Transportation Equipment,USA,USD,wikipedia_sp500
CMS,CMS Energy,USA,Utilities,Multi-Utilities,USA,USD,wikipedia_sp500
CNC,Centene Corporation,USA,Health Care,Managed Health Care,USA,USD,wikipedia_sp500
CNP,CenterPoint Energy,USA,Utilities,Multi-Utilities,USA,USD,wikipedia_sp500
COF,Capital One,USA,Financials,Consumer Finance,USA,USD,wikipedia_sp500
COHR,Coherent Corp.,USA,Information Technology,Electronic Components,USA,USD,wikipedia_sp500
COIN,Coinbase,USA,Financials,Financial Exchanges & Data,USA,USD,wikipedia_sp500
COO,Cooper Companies (The),USA,Health Care,Health Care Supplies,USA,USD,wikipedia_sp500
COP,ConocoPhillips,USA,Energy,Oil & Gas Exploration & Production,USA,USD,wikipedia_sp500
COR,Cencora,USA,Health Care,Health Care Distributors,USA,USD,wikipedia_sp500
COST,Costco,USA,Consumer Staples,Consumer Staples Merchandise Retail,USA,USD,wikipedia_sp500
CPAY,Corpay,USA,Financials,Transaction & Payment Processing Services,USA,USD,wikipedia_sp500
CPB,Campbell's Company (The),USA,Consumer Staples,Packaged Foods & Meats,USA,USD,wikipedia_sp500
CPRT,Copart,USA,Industrials,Diversified Support Services,USA,USD,wikipedia_sp500
CPT,Camden Property Trust,USA,Real Estate,Multi-Family Residential REITs,USA,USD,wikipedia_sp500
CRH,CRH plc,USA,Materials,Construction Materials,USA,USD,wikipedia_sp500
CRL,Charles River Laboratories,USA,Health Care,Life Sciences Tools & Services,USA,USD,wikipedia_sp500
CRM,Salesforce,USA,Information Technology,Application Software,USA,USD,wikipedia_sp500
CRWD,CrowdStrike,USA,Information Technology,Systems Software,USA,USD,wikipedia_sp500
CSCO,Cisco,USA,Information Technology,Communications Equipment,USA,USD,wikipedia_sp500
CSGP,CoStar Group,USA,Real Estate,Real Estate Services,USA,USD,wikipedia_sp500
CSX,CSX Corporation,USA,Industrials,Rail Transportation,USA,USD,wikipedia_sp500
CTAS,Cintas,USA,Industrials,Diversified Support Services,USA,USD,wikipedia_sp500
CTRA,Coterra,USA,Energy,Oil & Gas Exploration & Production,USA,USD,wikipedia_sp500
CTSH,Cognizant,USA,Information Technology,IT Consulting & Other Services,USA,USD,wikipedia_sp500
CTVA,Corteva,USA,Materials,Fertilizers & Agricultural Chemicals,USA,USD,wikipedia_sp500
CVNA,Carvana,USA,Consumer Discretionary,Automotive Retail,USA,USD,wikipedia_sp500
CVS,CVS Health,USA,Health Care,Health Care Services,USA,USD,wikipedia_sp500
CVX,Chevron Corporation,USA,Energy,Integrated Oil & Gas,USA,USD,wikipedia_sp500
D,Dominion Energy,USA,Utilities,Multi-Utilities,USA,USD,wikipedia_sp500
DAL,Delta Air Lines,USA,Industrials,Passenger Airlines,USA,USD,wikipedia_sp500
DASH,DoorDash,USA,Consumer Discretionary,Specialized Consumer Services,USA,USD,wikipedia_sp500
DD,DuPont,USA,Materials,Specialty Chemicals,USA,USD,wikipedia_sp500
DDOG,Datadog,USA,Information Technology,Application Software,USA,USD,wikipedia_sp500
DE,Deere & Company,USA,Industrials,Agricultural & Farm Machinery,USA,USD,wikipedia_sp500
DECK,Deckers Brands,USA,Consumer Discretionary,Footwear,USA,USD,wikipedia_sp500
DELL,Dell Technologies,USA,Information Technology,"Technology Hardware, Storage & Peripherals",USA,USD,wikipedia_sp500
DG,Dollar General,USA,Consumer Staples,Consumer Staples Merchandise Retail,USA,USD,wikipedia_sp500
DGX,Quest Diagnostics,USA,Health Care,Health Care Services,USA,USD,wikipedia_sp500
DHI,D. R. Horton,USA,Consumer Discretionary,Homebuilding,USA,USD,wikipedia_sp500
DHR,Danaher Corporation,USA,Health Care,Life Sciences Tools & Services,USA,USD,wikipedia_sp500
DIS,Walt Disney Company (The),USA,Communication Services,Movies & Entertainment,USA,USD,wikipedia_sp500
DLR,Digital Realty,USA,Real Estate,Data Center REITs,USA,USD,wikipedia_sp500
DLTR,Dollar Tree,USA,Consumer Staples,Consumer Staples Merchandise Retail,USA,USD,wikipedia_sp500
DOC,Healthpeak Properties,USA,Real Estate,Health Care REITs,USA,USD,wikipedia_sp500
DOV,Dover Corporation,USA,Industrials,Industrial Machinery & Supplies & Components,USA,USD,wikipedia_sp500
DOW,Dow Inc.,USA,Materials,Commodity Chemicals,USA,USD,wikipedia_sp500
DPZ,Domino's,USA,Consumer Discretionary,Restaurants,USA,USD,wikipedia_sp500
DRI,Darden Restaurants,USA,Consumer Discretionary,Restaurants,USA,USD,wikipedia_sp500
DTE,DTE Energy,USA,Utilities,Multi-Utilities,USA,USD,wikipedia_sp500
DUK,Duke Energy,USA,Utilities,Electric Utilities,USA,USD,wikipedia_sp500
DVA,DaVita,USA,Health Care,Health Care Services,USA,USD,wikipedia_sp500
DVN,Devon Energy,USA,Energy,Oil & Gas Exploration & Production,USA,USD,wikipedia_sp500
DXCM,Dexcom,USA,Health Care,Health Care Equipment,USA,USD,wikipedia_sp500
EA,Electronic Arts,USA,Communication Services,Interactive Home Entertainment,USA,USD,wikipedia_sp500
EBAY,eBay Inc.,USA,Consumer Discretionary,Broadline Retail,USA,USD,wikipedia_sp500
ECL,Ecolab,USA,Materials,Specialty Chemicals,USA,USD,wikipedia_sp500
ED,Consolidated Edison,USA,Utilities,Multi-Utilities,USA,USD,wikipedia_sp500
EFX,Equifax,USA,Industrials,Research & Consulting Services,USA,USD,wikipedia_sp500
EG,Everest Group,USA,Financials,Reinsurance,USA,USD,wikipedia_sp500
EIX,Edison International,USA,Utilities,Electric Utilities,USA,USD,wikipedia_sp500
EL,Estée Lauder Companies (The),USA,Consumer Staples,Personal Care Products,USA,USD,wikipedia_sp500
ELV,Elevance Health,USA,Health Care,Managed Health Care,USA,USD,wikipedia_sp500
EME,Emcor,USA,Industrials,Construction & Engineering,USA,USD,wikipedia_sp500
EMR,Emerson Electric,USA,Industrials,Electrical Components & Equipment,USA,USD,wikipedia_sp500
EOG,EOG Resources,USA,Energy,Oil & Gas Exploration & Production,USA,USD,wikipedia_sp500
EPAM,EPAM Systems,USA,Information Technology,IT Consulting & Other Services,USA,USD,wikipedia_sp500
EQIX,Equinix,USA,Real Estate,Data Center REITs,USA,USD,wikipedia_sp500
EQR,Equity Residential,USA,Real Estate,Multi-Family Residential REITs,USA,USD,wikipedia_sp500
EQT,EQT Corporation,USA,Energy,Oil & Gas Exploration & Production,USA,USD,wikipedia_sp500
ERIE,Erie Indemnity,USA,Financials,Insurance Brokers,USA,USD,wikipedia_sp500
ES,Eversource Energy,USA,Utilities,Electric Utilities,USA,USD,wikipedia_sp500
ESS,Essex Property Trust,USA,Real Estate,Multi-Family Residential REITs,USA,USD,wikipedia_sp500
ETN,Eaton Corporation,USA,Industrials,Electrical Components & Equipment,USA,USD,wikipedia_sp500
ETR,Entergy,USA,Utilities,Electric Utilities,USA,USD,wikipedia_sp500
EVRG,Evergy,USA,Utilities,Electric Utilities,USA,USD,wikipedia_sp500
EW,Edwards Lifesciences,USA,Health Care,Health Care Equipment,USA,USD,wikipedia_sp500
EXC,Exelon,USA,Utilities,Electric Utilities,USA,USD,wikipedia_sp500
EXE,Expand Energy,USA,Energy,Oil & Gas Exploration & Production,USA,USD,wikipedia_sp500
EXPD,Expeditors International,USA,Industrials,Air Freight & Logistics,USA,USD,wikipedia_sp500
EXPE,Expedia Group,USA,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",USA,USD,wikipedia_sp500
EXR,Extra Space Storage,USA,Real Estate,Self-Storage REITs,USA,USD,wikipedia_sp500
F,Ford Motor Company,USA,Consumer Discretionary,Automobile Manufacturers,USA,USD,wikipedia_sp500
FANG,Diamondback Energy,USA,Energy,Oil & Gas Exploration & Production,USA,USD,wikipedia_sp500
FAST,Fastenal,USA,Industrials,Trading Companies & Distributors,USA,USD,wikipedia_sp500
FCX,Freeport-McMoRan,USA,Materials,Copper,USA,USD,wikipedia_sp500
FDS,FactSet,USA,Financials,Financial Exchanges & Data,USA,USD,wikipedia_sp500
FDX,FedEx,USA,Industrials,Air Freight & Logistics,USA,USD,wikipedia_sp500
FE,FirstEnergy,USA,Utilities,Electric Utilities,USA,USD,wikipedia_sp500
FFIV,"F5, Inc.",USA,Information Technology,Communications Equipment,USA,USD,wikipedia_sp500
FICO,Fair Isaac,USA,Information Technology,Application Software,USA,USD,wikipedia_sp500
FIS,Fidelity National Information Services,USA,Financials,Transaction & Payment Processing Services,USA,USD,wikipedia_sp500
FISV,Fiserv,USA,Financials,Transaction & Payment Processing Services,USA,USD,wikipedia_sp500
FITB,Fifth Third Bancorp,USA,Financials,Regional Banks,USA,USD,wikipedia_sp500
FIX,Comfort Systems USA,USA,Industrials,Construction & Engineering,USA,USD,wikipedia_sp500
FOX,Fox Corporation (Class B),USA,Communication Services,Broadcasting,USA,USD,wikipedia_sp500
FOXA,Fox Corporation (Class A),USA,Communication Services,Broadcasting,USA,USD,wikipedia_sp500
FRT,Federal Realty Investment Trust,USA,Real Estate,Retail REITs,USA,USD,wikipedia_sp500
FSLR,First Solar,USA,Information Technology,Semiconductors,USA,USD,wikipedia_sp500
FTNT,Fortinet,USA,Information Technology,Systems Software,USA,USD,wikipedia_sp500
FTV,Fortive,USA,Industrials,Industrial Machinery & Supplies & Components,USA,USD,wikipedia_sp500
GD,General Dynamics,USA,Industrials,Aerospace & Defense,USA,USD,wikipedia_sp500
GDDY,GoDaddy,USA,Information Technology,Internet Services & Infrastructure,USA,USD,wikipedia_sp500
GE,GE Aerospace,USA,Industrials,Aerospace & Defense,USA,USD,wikipedia_sp500
GEHC,GE HealthCare,USA,Health Care,Health Care Equipment,USA,USD,wikipedia_sp500
GEN,Gen Digital,USA,Information Technology,Systems Software,USA,USD,wikipedia_sp500
GEV,GE Vernova,USA,Industrials,Heavy Electrical Equipment,USA,USD,wikipedia_sp500
GILD,Gilead Sciences,USA,Health Care,Biotechnology,USA,USD,wikipedia_sp500
GIS,General Mills,USA,Consumer Staples,Packaged Foods & Meats,USA,USD,wikipedia_sp500
GL,Globe Life,USA,Financials,Life & Health Insurance,USA,USD,wikipedia_sp500
GLW,Corning Inc.,USA,Information Technology,Electronic Components,USA,USD,wikipedia_sp500
GM,General Motors,USA,Consumer Discretionary,Automobile Manufacturers,USA,USD,wikipedia_sp500
GNRC,Generac,USA,Industrials,Electrical Components & Equipment,USA,USD,wikipedia_sp500
GOOG,Alphabet Inc. (Class C),USA,Communication Services,Interactive Media & Services,USA,USD,wikipedia_sp500
GOOGL,Alphabet Inc. (Class A),USA,Communication Services,Interactive Media & Services,USA,USD,wikipedia_sp500
GPC,Genuine Parts Company,USA,Consumer Discretionary,Distributors,USA,USD,wikipedia_sp500
GPN,Global Payments,USA,Financials,Transaction & Payment Processing Services,USA,USD,wikipedia_sp500
